Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/login,80,68,500.0,1090.133542502008,1.3278000405989587,2225.0483999960124,89.5875,8.51889707675401,7.241062515240909,2000,2000,2100,2100,2200,2200,2200,2200,2200,2200,2200
POST,/api/v1/auth/register,40,25,5,107.19245500076795,2.8720999835059047,329.93680000072345,70.95,4.259448538377005,2.662155336485628,7,240,270,280,300,310,330,330,330,330,330
POST,1_Generate_PDF,49,49,2,209.50995101973567,0.9619000484235585,2051.9850000273436,47.0,5.2178244595118315,5.2178244595118315,2,2,3,3,2000,2000,2100,2100,2100,2100,2100
POST,1_HVAC_Simulation,49,48,2,72.50577142837514,1.2538000009953976,2915.0649999501184,68.95918367346938,5.2178244595118315,5.111338246052406,2,3,3,4,6,220,2900,2900,2900,2900,2900
POST,1_Solar_Simulation,49,49,2,6.677508166497003,1.0650999611243606,202.48720003291965,42.204081632653065,5.2178244595118315,5.2178244595118315,2,3,3,4,7,8,200,200,200,200,200
POST,2_Eff_Sim,45,45,1,1.5798511087066598,0.9454999817535281,3.347499994561076,46.44444444444444,4.791879605674131,4.791879605674131,1,2,2,2,2,3,3,3,3,3,3
POST,2_HVAC_Sim,40,40,1,53.038697500596754,0.9206999675370753,2026.267499953974,45.7,4.259448538377005,4.259448538377005,1,2,2,2,4,32,2000,2000,2000,2000,2000
POST,2_Solar_Sim,45,45,1,12.564982222910556,0.9404000011272728,280.91019997373223,43.733333333333334,4.791879605674131,4.791879605674131,1,2,2,2,3,8,280,280,280,280,280
POST,2_Vent_Sim,47,47,1,45.43183617135312,0.9028000058606267,2052.065299998503,43.340425531914896,5.004852032592981,5.004852032592981,1,2,2,2,4,5,2100,2100,2100,2100,2100
,Aggregated,444,416,2,248.95880991060218,0.9028000058606267,2915.0649999501184,57.833333333333336,47.279878775984756,44.29826479912085,2,3,5,7,2000,2100,2200,2200,2900,2900,2900
